Iron (II) Nitride ,Fe3N2
Iron (II) Phosphide ,Fe3P2
Iron (II) Oxide ,FeO
Iron (II) Sulfide ,FeS
Iron (II) Fluoride ,FeF2
Iron (II) Chloride ,FeCl2
Iron (II) Bromide ,FeBr2
Iron (II) Iodide,FeI2
Iron (III) Nitride ,FeN
Iron (III) Phosphide ,FeP
Iron (III) Oxide ,Fe2O3
Iron (III) Sulfide ,Fe2S3
Iron (III) Fluoride ,FeF3
Iron (III) Chloride ,FeCl3
Iron (III) Bromide ,FeBr3
Iron (III) Iodide,FeI3
Copper (I) Nitride ,Cu3N
Copper (I) Phosphide ,Cu3P
Copper (I) Oxide ,Cu2O
 Copper (I) Sulfide ,Cu2S
Copper (I) Fluoride ,CuF
Copper (I) Chloride ,CuCl
Copper (I) Bromide ,CuBr
Copper (I) Iodide ,CuI
Copper (II) Nitride ,Cu3N2
Copper (II) Phosphide ,Cu3P2
Copper (II) Oxide ,CuO
 Copper (II) Sulfide ,CuS
Copper (II) Fluoride ,CuF2
Copper (II) Chloride ,CuCl2
Copper (II) Bromide ,CuBr2
Copper (II) Iodide ,CuI2
Chromium (II) Nitride ,Cr3N2
Chromium (II) Phosphide ,Cr3P2
Chromium (II) Oxide ,CrO
Chromium (II) Sulfide ,CrS
Chromium (II) Fluoride ,CrF2
Chromium (II) Chloride ,CrCl2
Chromium (II) Bromide ,CrBr2
Chromium (II) Iodide ,CrI2
Chromium (III) Nitride ,CrN
Chromium (III) Phosphide ,CrP
Chromium (III) Oxide ,Cr2O3
Chromium (III) Sulfide ,Cr2S3
Chromium (III) Fluoride ,CrF3
Chromium (III) Chloride ,CrCl3
Chromium (III) Bromide ,CrBr3
Chromium (III) Iodide ,CrI3
Cobalt (II) Nitride ,Co3N2
Cobalt (II) Phosphide ,Co3P2
Cobalt (II) Oxide ,CoO
Cobalt (II) Sulfide ,CoS
Cobalt (II) Fluoride ,CoF2
Cobalt (II) Chloride ,CoCl2
Cobalt (II) Bromide ,CoBr2
Cobalt (II) Iodide ,CoI2
Cobalt (III) Nitride ,CoN
Cobalt (III) Phosphide ,CoP
Cobalt (III) Oxide ,Co2O3
Cobalt (III) Sulfide ,Co2S3
Cobalt (III) Fluoride ,CoF3
Cobalt (III) Chloride ,CoCl3
Cobalt (III) Bromide ,CoBr3
Cobalt (III) Iodide ,CoI3
Nickel (II) Nitride ,Ni3N2
NIckel (II) Phosphide ,Ni3P2
Nickel (II) Oxide ,NiO
Nickel (II) Sulfide ,NiS
Nickel (II) Fluoride ,NiF2
Nickel (II) Chloride ,NiCl2
Nickel (II) Bromide ,NiBr2
Nickel (II) Iodide ,NiI2
Nickel (III) Nitride ,NiN
NIckel (III) Phosphide ,NiP
Nickel (III) Oxide ,Ni2O3
Nickel (III) Sulfide ,Ni2S3
Nickel (III) Fluoride ,NiF3
Nickel (III) Chloride ,NiCl3
Nickel (III) Bromide ,NiBr3
Nickel (III) Iodide ,NiI3
Mercury (II) Nitride,Hg3N2
Mercury (II) Phosphide,Hg3P2
Mercury (II) Oxide,HgO
Mercury (II) Sulfide,HgS
Mercury (II) Fluoride,HgF2
Mercury (II) Chloride,HgCl2
Mercury (II) Bromide,HgBr2
Mercury (II) Iodide,HgI2