Lithium Acetate,LiC2H3O2
Lithium Chlorate,LiClO3
Lithium Chlorite,LiClO2
Lithium Cyanide,LiCN
Lithium Hydroxide,LiOH
Lithium Hypochlorite,LiClO
Lithium Nitrate,LiNO3
Lithium Nitrite,LiNO2
Lithium Perchlorate,LiClO4
Lithium Permanganate,LiMnO4
Lithium Carbonate,Li2CO3
Lithium Chromate,Li2CrO4
Lithium Dichromate,Li2Cr2O7
Lithium Sulfate,Li2SO4
Lithium Sulfite,Li2SO3
Lithium Silicate,Li2SiO3
Lithium Arsenate,Li3AsO4
Lithium Phosphite,Li3PO3
Lithium Phosphate,Li3PO4
Sodium Acetate,NaC2H3O2
Sodium Chlorate,NaClO3
Sodium Chlorite,NaClO2
Sodium Cyanide,NaCN
Sodium Hydroxide,NaOH
Sodium Hypochlorite,NaClO
Sodium Nitrate,NaNO3
Sodium Nitrite,NaNO2
Sodium Perchlorate,NaClO4
Sodium Permanganate,NaMnO4
Sodium Carboate,Na2CO3
Sodium Chromate,Na2CrO4
Sodium Dichromate,Na2Cr2O7
Sodium Sulfate,Na2SO4
Sodium Sulfite,Na2SO3
Sodium Silicate,Na2SiO3
Sodium Arsenate,Na3AsO4
Sodium Phosphite,Na3PO3
Sodium Phosphate,Na3PO4
Potassium Acetate,KC2H3O2
Potassium Chlorate,KClO3
Potassium Chlorite,KClO2
Potassium Cyanide,KCN
Potassium Hydroxide,KOH
Potassium Hypochlorite,KClO
Potassium Nitrate,KNO3
Potassium Nitrite,KNO2
Potassium Perchlorate,KClO4
Potassium Permanganate,KMnO4
Potassium Carbonate,K2CO3
Potassium Chromate,K2CrO4
Potassium Dichromate,K2Cr2O7
Potassium Sulfate,K2SO4
Potassium Sulfite,K2SO3
Potassium Silicate,K2SiO3
Potassium Arsenate,K3AsO4
Potassium Phosphite,K3PO3
Potassium Phosphate,K3PO4
Rubidium Acetate,RbC2H3O2
Rubidum Chlorate,RbClO3
Rubidium Chlorite,RbClO2
Rubidium Cyanide,RbCN
Rubidium Hydroxide,RbOH
Rubidium Hypochlorite,RbClO
Rubidium Nitrate,RbNO3
Rubidum Ntirite,RbNO2
Rubidium Perchlorate,RbClO4
Rubidum Permanganate,RbMnO4
Rubidium Carbonate,Rb2CO3
Rubidium Chomate,Rb2CrO4
Rubidium Dichromate,Rb2Cr2O7
Rubidium Sulfate,Rb2SO4
Rubidium Sulfite,Rb2SO3
Rubidium Silicate,Rb2SiO3
Rubidium Arsenate,Rb3AsO4
Rubidium Phosphite,Rb3PO3
Rubidium Phosphate,Rb3PO4
Cesium Acetate,CsC2H3O2
Cesium Chlorate,CsClO3
Cesium Chlorite,CsClO2
Cesium Cyanide,CsCN
Cesium Hydroxide,CsOH
Cesium Hypochlorite,CsClO
Cesium Nitrate,CsNO3
Cesium Nitrite,CsNO2
Cesium Perchlorate,CsClO4
Cesium Permanganate,CsMnO4
Cesium Carbonate,Cs2CO3
Cesium Chomate,Cs2CrO4
Cesium Dichromate,Cs2Cr2O7
Cesium Sulfate,Cs2SO4
Cesium Sulfite,Cs2SO3
Cesium Silicate,Cs2SiO3
Cesium Arsenate,Cs3AsO4
Cesium Phosphite,Cs3PO3
Cesium Phosphate,Cs3PO4
Silver Acetate,AgC2H3O2
Silver Chlorate,AgClO3
Silver Chlorite,AgClO2
Silver Cyanide,AgCN
Silver Hydroxide,AgOH
Silver Hypochlorite,AgClO
Silver Nitrate,AgNO3
Silver Nitrite,AgNO2
Silver Perchlorate,AgClO4
Silver Permanganate,AgMnO4
Silver Carbonate,Ag2CO3
Silver Chomate,Ag2CrO4
Silver Dichromate,Ag2Cr2O7
Silver Sulfate,Ag2SO4
Silver Sulfite,Ag2SO3
Silver Silicate,Ag2SiO3
Silver Arsenate,Ag3AsO4
Silver Phosphite,Ag3PO3
Silver Phosphate,Ag3PO4
Ammonium Acetate,NH4C2H3O2
Ammonium Chlorate,NH4ClO3
Ammonium Chlorite,NH4ClO2
Ammonium Cyanide,NH4CN
Ammonium Hydroxide,NH4OH
Ammonium Hypochlorite,NH4ClO
Ammonium Nitrate,NH4NO3
Ammonium Nitrite,NH4NO2
Ammonium Perchlorate,NH4ClO4
Ammonium Permanganate,NH4MnO4
Ammonium Carbonate,(NH4)2CO3
Ammonium Chomate,(NH4)2CrO4
Ammonium Dichromate,(NH4)2Cr2O7
Ammonium Sulfate,(NH4)2SO4
Ammonium Sulfite,(NH4)2SO3
Ammonium Silicate,(NH4)2SiO3
Ammonium Arsenate,(NH4)3AsO4
Ammonium Phosphite,(NH4)3PO3
Ammonium Phosphate,(NH4)3PO4
Ammonium nitride,(NH4)3N
ammonium phosphide,(NH4)3P
ammonium oxide,(NH4)2O
ammonium sulfide,(NH4)2S
ammonium fluoride,NH4F
ammonium chloride,NH4Cl
ammonium bromide,NH4Br
ammonium iodide,NH4I
Beryllium Acetate,Be(C2H3O2)2
Beryllium Chlorate,Be(ClO3)2
Beryllium Chlorite,Be(ClO2)2
Beryllium Cyanide,Be(CN)2
Beryllium Hydroxide,Be(OH)2
Beryllium Hypochlorite,Be(ClO)2
Beryllium Nitrate,Be(NO3)2
Beryllium Nitrite,Be(NO2)2
Beryllium Perchlorate,Be(ClO4)2
Beryllium Permanganate,Be(MnO4)2
Beryllium Carbonate,BeCO3
Beryllium Chomate,BeCrO4
Beryllium Dichromate,BeCr2O7 
Beryllium Sulfate,BeSO4
Beryllium Sulfite,BeSO3
Beryllium Silicate,BeSiO3
Beryllium Arsenate,Be3(AsO4)2
Beryllium Phosphite,Be3(PO3)2
Beryllium Phosphate,Be3(PO4)2
Magnesium Acetate ,Mg(C2H3O2)2
Magnesium Chlorate ,Mg(ClO3)2
Magnesium Chlorite ,Mg(ClO2)2
Magnesium Cyanide ,Mg(CN)2
Magnesium Hydroxide ,Mg(OH)2
Magnesium Hypochlorite,Mg(ClO)2
Magnesium Nitrate ,Mg(NO3)2
Magnesium Nitrite ,Mg(NO2)2
Magnesium Perchlorate ,Mg(ClO4)2
Magnesium Permanganate ,Mg(MnO4)2
Magnesium Carbonate,MgCO3
Magnesium Chomate,MgCrO4
Magnesium Dichromate,MgCr2O7 
Magnesium Sulfate,MgSO4
Magnesium Sulfite,MgSO3
Magnesium Silicate,MgSiO3
Magnesium Arsenate,Mg3(AsO4)2
Magnesium Phosphite,Mg3(PO3)2
Magnesium Phosphate,Mg3(PO4)2
Calcium Acetate ,Ca(C2H3O2)2
Calcium Chlorate ,Ca(ClO3)2
Calcium Chlorite ,Ca(ClO2)2
Calcium Cyanide ,Ca(CN)2
Calcium Hydroxide ,Ca(OH)2
Calcium Hypochlorite,Ca(ClO)2
Calcium Nitrate ,Ca(NO3)2
Calcium Nitrite ,Ca(NO2)2
Calcium Perchlorate ,Ca(ClO4)2
Calcium Permanganate ,Ca(MnO4)2
Calcium Carbonate,CaCO3
Calcium Chomate,CaCrO4
Calcium Dichromate,CaCr2O7 
Calcium Sulfate,CaSO4
Calcium Sulfite,CaSO3
Calcium Silicate,CaSiO3
Calcium Arsenate,Ca3(AsO4)2
Calcium Phosphite,Ca3(PO3)2
Calcium Phosphate,Ca3(PO4)2
Strontium Acetate ,Sr(C2H3O2)2
Strontium Chlorate ,Sr(ClO3)2
Strontium Chlorite ,Sr(ClO2)2
Strontium Cyanide ,Sr(CN)2
Strontium Hydroxide ,Sr(OH)2
Strontium Hypochlorite,Sr(ClO)2
Strontium Nitrate ,Sr(NO3)2
Strontium Nitrite ,Sr(NO2)2
Strontium Perchlorate ,Sr(ClO4)2
Strontium Permanganate ,Sr(MnO4)2
Strontium Carbonate,SrCO3
Strontium Chomate,SrCrO4
Strontium Dichromate,SrCr2O7 
Strontium Sulfate,SrSO4
Strontium Sulfite,SrSO3
Strontium Silicate,SrSiO3
Strontium Arsenate,Sr3(AsO4)2
Strontium Phosphite,Sr3(PO3)2
Strontium Phosphate,Sr3(PO4)2
Barium Acetate ,Ba(C2H3O2)2
Barium Chlorate ,Ba(ClO3)2
Barium Chlorite ,Ba(ClO2)2
Barium Cyanide ,Ba(CN)2
Barium Hydroxide ,Ba(OH)2
Barium Hypochlorite,Ba(ClO)2
Barium Nitrate ,Ba(NO3)2
Barium Nitrite ,Ba(NO2)2
Barium Perchlorate ,Ba(ClO4)2
Barium Permanganate ,Ba(MnO4)2
Barium Carbonate,BaCO3
Barium Chomate,BaCrO4
Barium Dichromate,BaCr2O7 
Barium Sulfate,BaSO4
Barium Sulfite,BaSO3
Barium Silicate,BaSiO3
Barium Arsenate,Ba3(AsO4)2
Barium Phosphite,Ba3(PO3)2
Barium Phosphate,Ba3(PO4)2
Zinc Acetate ,Zn(C2H3O2)2
Zinc Chlorate ,Zn(ClO3)2
Zinc Chlorite ,Zn(ClO2)2
Zinc Cyanide ,Zn(CN)2
Zinc Hydroxide ,Zn(OH)2
Zinc Hypochlorite,Zn(ClO)2
Zinc Nitrate ,Zn(NO3)2
Zinc Nitrite ,Zn(NO2)2
Zinc Perchlorate ,Zn(ClO4)2
Zinc Permanganate ,Zn(MnO4)2
Zinc Carbonate,ZnCO3
Zinc Chomate,ZnCrO4
Zinc Dichromate,ZnCr2O7 
Zinc Sulfate,ZnSO4
Zinc Sulfite,ZnSO3
Zinc Silicate,ZnSiO3
Zinc Arsenate,Zn3(AsO4)2
Zinc Phosphite,Zn3(PO3)2
Zinc Phosphate,Zn3(PO4)2
Cadmium Acetate ,Cd(C2H3O2)2
Cadmium Chlorate ,Cd(ClO3)2
Cadmium Chlorite ,Cd(ClO2)2
Cadmium Cyanide ,Cd(CN)2
Cadmium Hydroxide,Cd(OH)2
Cadmium Hypochlorite,Cd(ClO)2
Cadmium Nitrate ,Cd(NO3)2
Cadmium Nitrite ,Cd(NO2)2
Cadmium Perchlorate ,Cd(ClO4)2
Cadmium Permanganate ,Cd(MnO4)2
Cadmium Carbonate,CdCO3
Cadmium Chomate,CdCrO4
Cadmium Dichromate,CdCr2O7 
Cadmium Sulfate,CdSO4
Cadmium Sulfite,CdSO3
Cadmium Silicate,CdSiO3
Cadmium Arsenate,Cd3(AsO4)2
Cadmium Phosphite,Cd3(PO3)2
Cadmium Phosphate,Cd3(PO4)2
Aluminum  Acetate ,Al(C2H3O2)3
Aluminum Chlorate ,Al(ClO3)3
Aluminum Chlorite ,Al(ClO2)3
Aluminum Cyanide ,Al(CN)3
Aluminum Hydroxide,Al(OH)3
Aluminum Hypochlorite,Al(ClO)3
Aluminum Nitrate ,Al(NO3)3
Aluminum Nitrite ,Al(NO2)3
Aluminum Perchlorate ,Al(ClO4)3
Aluminum Permanganate ,Al(MnO4)3
Aluminum Carbonate,Al2(CO3)3
Aluminum Chomate,Al2(CrO4)3
Aluminum Dichromate,Al2(Cr2O7 )3
Aluminum Sulfate,Al2(SO4)3
Aluminum Sulfite,Al2(SO3)3
Aluminum Silicate,Al2(SiO3)3
Aluminum Arsenate,AlAsO4
Aluminum Phosphite,AlPO3
Aluminum Phosphate,AlPO4